ts_code,ln_cap,beta,momentum_20d,volatility_60d,turnover_20d,pe_ttm,pb,roe,debt_ratio,eps_growth
000415.SZ,14.755671246364464,1.8623351452768773,-0.1134903640256959,0.0297589428595515,1.187,0.0,0.8575,0.0,0.0,0.0
000417.SZ,13.590618504911449,1.7446665609756,0.5802469135802468,0.0346817847289338,33.32,53.5104,1.6761,0.0,0.0,0.0
000419.SZ,12.576706649717975,1.1342866449750115,-0.0730434782608695,0.0209184703339384,1.2524,20.3246,0.8479,0.0,0.0,0.0
000420.SZ,13.981243451053478,1.6700110734404834,-0.0926275992438563,0.0362546288829271,3.3483,282.9654,2.658,0.0,0.0,0.0
000421.SZ,12.761885068405071,0.833261057348874,0.0083056478405316,0.0248439394726322,1.0999,39.8238,1.2372,0.0,0.0,0.0
000422.SZ,14.26202818192461,0.4743692628740394,-0.1162361623616237,0.0327078483844706,2.2332,16.3529,2.5114,0.0,0.0,0.0
000423.SZ,14.975209865809031,0.27478806519559,-0.069347866942304,0.0160791386778284,0.7995,18.0313,2.9547,0.0,0.0,0.0
000425.SZ,16.240430009905197,1.6136527986707716,-0.0445544554455444,0.0319528209674949,1.0389,17.1072,1.8125,0.0,0.0,0.0
000426.SZ,15.812054396647168,3.1087061326457306,-0.077008680169152,0.041929957284606,3.262,27.6042,6.8021,0.0,0.0,0.0
000428.SZ,12.840010068506064,1.2010765609491054,-0.0339425587467362,0.0210199694611557,1.7462,0.0,2.9532,0.0,0.0,0.0
000429.SZ,14.837487395426102,0.5546423855400149,0.0481072555205046,0.0127919780649685,0.5383,17.4131,2.4113,0.0,0.0,0.0
000430.SZ,13.288259414589277,0.8154065239628263,-0.0783817951959545,0.0186666592553717,2.0096,0.0,3.2478,0.0,0.0,0.0
000488.SZ,13.420383531959688,0.6916500422971154,-0.1019607843137254,0.0292780052697889,0.8187,0.0,16.1715,0.0,0.0,0.0
000498.SZ,13.614785877589409,0.9992972908456784,-0.0991452991452991,0.016169824816169,0.4734,3.8132,0.4733,0.0,0.0,0.0
000501.SZ,13.267819570111325,1.2257507846578388,-0.1036948748510132,0.0167123702478585,0.7555,35.8665,0.5276,0.0,0.0,0.0
